asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B0BLD393H7,"nokia 2780 flip | unlocked | kaios | verizon, at&amp;t, t-mobile | blue",88.0,88.0,3.7,809,3,41.21,False,False,True,False,1K+ bought in past month,True,1000.0,False
B07HB15NMK,at&amp;t el52513 5-handset cordless phone with answering system &amp; xl backlit keys,106.08,106.08,4.3,18566,3,62.42,False,False,True,False,100+ bought in past month,False,100.0,False
B0D6YZR64W,"doogee blade 10 rugged phone unlocked android 14,9gb+128gb/tf 2tb octa core rugged smartphone,6.56&quot; hd+ 90hz cell phone,16mp camera,4g dual sim ip68/ip69k waterproof phone,widevine l1/gps/face id",199.99,199.99,4.5,11,1,199.99,False,False,True,False,,False,,False
B086R819LS,"vtech is8151-5 super long range 5 handset dect 6.0 cordless phone for home with answering machine, 2300 ft range, call blocking, bluetooth, headset jack, power backup, intercom, expandable to 12 hs",148.87,164.95,4.2,8627,5,51.94,False,False,True,False,300+ bought in past month,False,300.0,True
B0B8W377RV,"google pixel 6a 5g, us version, 128gb, charcoal - unlocked (renewed)",172.49,172.49,3.9,982,7,139.85,False,False,False,False,400+ bought in past month,True,400.0,False
B08PMP778K,"apple iphone 12 pro max, 128gb, pacific blue - fully unlocked (renewed)",469.99,469.99,4.2,9355,8,449.99,False,False,True,True,400+ bought in past month,True,400.0,False
B0D897WH4K,bold k50 | 5g| 2024 | 3-day battery | unlocked | 6.7” fhd+ 3d amoled | 256/8gb | triple 64mp camera | us version | us warranty | purple,199.99,199.99,4.1,21,1,199.99,False,False,True,False,300+ bought in past month,False,300.0,False
B0CKNHHZH1,"cheap smartphone， 5.0&#x27;&#x27; android 9.0, 16gb rom(extendable to 128gb,dual sim dual camera, wifi,bluetooth,gps basic mobile phones (r10-purple)",51.99,51.99,3.0,83,1,51.99,False,False,True,False,,True,,False
B0D3F61948,"umidigi g9 5g cell phone, android 14 unlocked phones, 12(6+6) gb +128gb/1tb tf expand, 5g dual sim, 50mp camera, 6.75&quot; hd+ 90hz display, ai face &amp; fingerprint unlock, 5000mah android phone green",143.99,143.99,4.3,90,1,143.99,False,False,True,False,200+ bought in past month,True,200.0,False
B09RNBM76R,"samsung galaxy xcover6 pro 5g | rugged (ip68 rated) unlocked (verizon, at&amp;t, t-mobile, us cellular) | dual sim (1 nano + 1 esim) | 128gb | us version (2022 model) | black (sm-g736uzkexaa)",124.99,499.99,3.9,98,7,98.99,False,False,True,False,100+ bought in past month,False,100.0,True
B0C5B736X3,samsung galaxy s23 5g factory unlocked 128gb - phantom black (renewed),379.55,379.55,4.1,361,16,325.05,False,False,False,False,500+ bought in past month,True,500.0,False
B07Z6Q9NCZ,blu advance l5 | 2020 | long lasting battery | unlocked | 4.0” display | 16gb | 5mp camera | us warranty | black,113.87,113.87,3.3,3035,1,82.17,False,False,False,False,50+ bought in past month,False,50.0,False
B0D18SMB1X,"samsung galaxy z fold 6 ai cell phone, 512gb unlocked android smartphone, circle to search, handsfree live interpreter, ai photo edits, large screen, 2024,us 1 yr manufacturer warranty, silver shadow",1614.99,2019.99,4.1,83,10,1583.65,False,False,False,True,300+ bought in past month,True,300.0,True
B0BCQXY9H8,"google pixel 7 pro - 5g android phone - unlocked smartphone with telephoto, wide angle lens, and 24-hour battery - 512gb - snow",499.95,499.95,4.2,2755,4,485.0,False,False,True,True,50+ bought in past month,True,50.0,False
B09ZRTQXQ7,"samsung galaxy a13 5g (64gb, 4gb) 6.5&quot; hd+, 50mp triple camera, 5000mah battery, 5g / 4g volte (for t-mobile, metro, sprint only) a136u (black) (renewed)",94.0,179.0,4.0,171,21,77.67,False,False,True,False,100+ bought in past month,False,100.0,True
B0CWLJSSSX,"[new] vtech vg131-21 dect 6.0 2-handset cordless phone - bluetooth connection, blue-white display, big buttons, full duplex speakerphone, caller id, easy wall mount, 1000ft range (black)",30.52,32.95,4.2,40734,2,19.99,False,False,True,False,200+ bought in past month,False,200.0,True
B08HBPXM97,kyocera duraxv extreme e4810 verizon rugged lte flip basic cell phone camera gps black- (renewed),159.99,199.75,3.8,275,7,125.98,False,False,False,True,100+ bought in past month,False,100.0,True
B08H7RJLM2,"samsung galaxy s20 ultra, 128gb, cosmic gray - fully unlocked (renewed)",250.0,250.0,4.1,1968,27,223.95,False,False,False,True,400+ bought in past month,False,400.0,False
B0CWWC2G6F,nokia 110 4g | dual sim | gsm unlocked mobile phone | volte | blue | international version | not at&amp;t/cricket/verizon compatible,39.99,39.99,3.7,31,3,31.59,False,False,True,False,400+ bought in past month,False,400.0,False
